Data,Quantidade
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-09,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
2024-04-11,1
